Date,Open,High,Low,Close,Adj Close,Volume
2019-01-23,164.039993,166.600006,162.160004,164.330002,152.833725,1207800
2019-01-24,164.500000,164.970001,155.639999,156.309998,145.374786,1298000
2019-01-25,156.830002,156.830002,150.240005,153.220001,142.500931,1800700
2019-01-28,151.649994,155.050003,150.050003,154.860001,144.026230,1311500
2019-01-29,154.149994,155.449997,151.750000,155.389999,144.519119,1076200
2019-01-30,156.190002,160.199997,155.600006,159.039993,147.913773,1016500
2019-01-31,158.399994,160.110001,155.779999,159.199997,148.062622,1586600
2019-02-01,159.899994,161.679993,158.529999,159.039993,147.913773,941500
2019-02-04,159.630005,161.619995,157.759995,161.350006,150.062210,665600
2019-02-05,162.389999,162.979996,159.630005,161.460007,150.164490,932600
2019-02-06,161.380005,161.800003,156.699997,157.220001,146.221100,1212000
2019-02-07,160.000000,163.259995,158.000000,163.130005,151.717651,1375900
2019-02-08,161.990005,163.610001,161.119995,162.410004,151.048035,740700
2019-02-11,162.440002,165.350006,162.440002,165.130005,153.577728,917500
2019-02-12,165.869995,168.539993,165.479996,167.889999,156.144638,1264300
2019-02-13,168.679993,169.580002,165.630005,166.460007,154.814697,1104700
2019-02-14,165.919998,169.750000,164.250000,168.740005,156.935211,720000
2019-02-15,169.830002,170.830002,167.669998,169.990005,158.097748,1379600
2019-02-19,169.929993,178.690002,166.419998,167.139999,155.447144,3369200
2019-02-20,166.000000,167.029999,162.589996,166.000000,154.386871,1990200
2019-02-21,166.210007,166.210007,160.199997,161.309998,150.024979,1616300
2019-02-22,161.309998,161.880005,158.910004,161.470001,150.173782,1158000
2019-02-25,162.630005,163.320007,156.119995,157.710007,146.676834,1787200
2019-02-26,163.000000,165.830002,161.479996,162.919998,151.522354,2112600
2019-02-27,162.589996,162.779999,156.679993,158.300003,147.225555,1149800
2019-02-28,156.720001,163.770004,156.720001,161.779999,150.462128,1717600
2019-03-01,162.250000,163.250000,158.050003,160.619995,149.383240,1398300
2019-03-04,161.919998,161.919998,156.919998,158.399994,147.318588,1147200
2019-03-05,158.509995,159.820007,157.270004,157.309998,146.304840,863100
2019-03-06,157.820007,159.130005,156.419998,157.970001,146.918640,1067900
2019-03-07,157.089996,157.309998,154.009995,154.130005,143.347275,940700
2019-03-08,152.850006,153.190002,150.500000,151.770004,141.152374,1138200
2019-03-11,152.259995,155.779999,152.080002,155.460007,144.584229,1047800
2019-03-12,155.619995,155.619995,152.899994,154.869995,144.035477,871900
2019-03-13,155.250000,155.800003,153.789993,154.699997,143.877411,812400
2019-03-14,155.059998,155.199997,153.039993,154.000000,143.226379,683400
2019-03-15,153.639999,154.990005,151.039993,154.839996,144.007645,1714100
2019-03-18,155.220001,162.949997,155.080002,161.570007,150.266785,2116100
2019-03-19,161.440002,164.929993,161.169998,163.419998,151.987350,1371600
2019-03-20,164.509995,165.619995,162.589996,164.149994,152.666321,875200
2019-03-21,163.830002,169.169998,163.830002,169.070007,157.299591,864700
2019-03-22,168.330002,168.580002,164.720001,164.839996,153.364075,941600
2019-03-25,165.500000,168.949997,164.289993,167.779999,156.099396,841100
2019-03-26,167.850006,168.899994,165.809998,168.270004,156.555283,961700
2019-03-27,167.960007,169.710007,166.699997,166.889999,155.271378,998900
2019-03-28,167.320007,168.919998,166.660004,168.750000,157.001862,643400
2019-03-29,169.889999,171.570007,168.600006,170.529999,158.657959,1856200
2019-04-01,172.789993,174.179993,171.130005,173.630005,161.542160,957500
2019-04-02,173.539993,173.940002,170.929993,173.339996,161.272324,670600
2019-04-03,174.080002,174.800003,171.419998,171.690002,159.737198,847200
2019-04-04,172.139999,174.410004,171.580002,174.000000,161.886368,1213800
2019-04-05,174.309998,176.830002,174.309998,176.779999,164.472839,741300
2019-04-08,175.779999,178.039993,173.830002,177.589996,165.226425,830300
2019-04-09,176.899994,177.720001,175.330002,175.649994,163.421509,616200
2019-04-10,176.699997,178.860001,174.250000,178.800003,166.352188,1079500
2019-04-11,178.649994,181.020004,177.889999,180.960007,168.361832,705300
2019-04-12,180.960007,181.800003,179.740005,180.110001,167.570984,922600
2019-04-15,180.539993,181.779999,179.029999,181.429993,168.799149,913200
2019-04-16,182.559998,182.559998,179.509995,179.949997,167.422134,676900
2019-04-17,179.949997,180.050003,176.669998,176.809998,164.500732,741500
2019-04-18,176.559998,177.130005,174.110001,175.399994,163.188904,1025300
2019-04-22,174.449997,175.389999,169.729996,170.080002,158.239273,878800
2019-04-23,171.089996,173.720001,170.259995,172.470001,160.462906,925000
2019-04-24,173.289993,173.929993,171.759995,171.860001,159.895370,915700
2019-04-25,169.800003,171.570007,165.869995,170.639999,158.760300,1265000
2019-04-26,170.309998,170.729996,168.169998,170.190002,158.341614,690700
2019-04-29,169.940002,170.559998,166.639999,166.770004,155.159714,811000
2019-04-30,167.410004,168.710007,165.250000,166.320007,154.741058,872200
2019-05-01,166.130005,166.660004,163.669998,163.830002,152.424408,923200
2019-05-02,164.050003,167.210007,163.300003,166.779999,155.169022,1154500
2019-05-03,167.050003,167.389999,163.190002,163.270004,151.903381,760200
2019-05-06,161.059998,163.559998,159.830002,161.990005,150.712509,1218600
2019-05-07,161.089996,162.589996,159.649994,160.660004,149.475082,1069400
2019-05-08,160.119995,160.449997,157.729996,158.619995,147.577103,586200
2019-05-09,157.320007,160.009995,156.179993,159.889999,148.758698,883600
2019-05-10,159.240005,159.240005,154.490005,158.119995,147.111954,813300
2019-05-13,155.130005,156.000000,153.410004,155.369995,144.553345,1395400
2019-05-14,154.570007,156.889999,153.089996,155.750000,144.906906,1216000
2019-05-15,154.839996,155.949997,153.250000,155.830002,144.981339,783000
2019-05-16,155.800003,158.669998,154.119995,157.279999,146.330383,1264500
2019-05-17,155.919998,159.669998,155.679993,157.970001,146.972351,1146200
2019-05-20,157.350006,160.190002,157.199997,158.639999,147.595703,1714600
2019-05-21,159.020004,161.720001,156.649994,161.300003,150.070541,1821300
2019-05-22,165.690002,170.990005,164.600006,166.289993,154.713135,3608400
2019-05-23,165.580002,167.000000,158.550003,159.800003,148.674957,2600200
2019-05-24,159.720001,160.410004,155.479996,158.089996,147.084000,2127800
2019-05-28,158.229996,159.250000,154.559998,154.559998,143.799759,1207500
2019-05-29,154.179993,156.070007,151.570007,155.779999,144.934830,1665200
2019-05-30,156.789993,160.580002,156.440002,159.389999,148.293518,1080200
2019-05-31,156.000000,156.630005,154.399994,155.000000,144.209122,1487200
2019-06-03,154.410004,154.490005,151.830002,153.169998,142.506546,1104200
2019-06-04,154.559998,155.820007,153.759995,154.610001,143.846283,1008300
2019-06-05,155.259995,156.020004,152.639999,154.610001,143.846283,1093000
2019-06-06,154.639999,155.399994,153.419998,154.899994,144.116043,919500
2019-06-07,155.100006,157.130005,154.570007,155.350006,144.534775,663300
2019-06-10,156.360001,157.699997,152.130005,153.520004,142.832184,1046900
2019-06-11,153.759995,153.839996,150.320007,152.169998,141.576157,1469200
2019-06-12,152.089996,152.679993,149.029999,150.539993,140.059647,796500
2019-06-13,150.660004,152.699997,150.190002,150.610001,140.124771,814800
2019-06-14,150.690002,152.679993,150.309998,151.800003,141.231918,769100
2019-06-17,152.520004,153.839996,151.660004,151.740005,141.176102,694300
2019-06-18,152.419998,155.050003,152.320007,154.830002,144.050980,1194500
2019-06-19,154.869995,155.059998,152.119995,153.770004,143.064743,1092600
2019-06-20,154.320007,154.949997,151.270004,153.270004,142.655212,874700
2019-06-21,153.610001,154.110001,151.759995,153.240005,142.627304,1054200
2019-06-24,153.860001,153.860001,151.660004,152.330002,141.780334,1134100
2019-06-25,152.940002,156.220001,151.919998,154.500000,143.800064,1346800
2019-06-26,153.690002,153.919998,149.199997,149.929993,139.546524,1237800
2019-06-27,150.089996,153.029999,149.169998,151.710007,141.203293,1028900
2019-06-28,151.979996,154.449997,151.399994,154.139999,143.464996,950000
2019-07-01,155.710007,158.449997,155.570007,156.589996,145.745285,1151500
2019-07-02,157.000000,160.490005,156.320007,159.789993,148.723663,1394000
2019-07-03,159.509995,161.630005,158.669998,160.630005,149.505508,588400
2019-07-05,160.139999,161.009995,159.250000,160.619995,149.496201,604400
2019-07-08,160.600006,163.229996,158.110001,158.190002,147.234497,1588100
2019-07-09,157.770004,158.880005,154.029999,155.500000,144.730804,1040700
2019-07-10,155.589996,156.809998,154.589996,156.429993,145.596359,833700
2019-07-11,155.860001,157.520004,155.080002,156.289993,145.466064,970300
2019-07-12,156.240005,159.110001,155.889999,158.580002,147.597488,648600
2019-07-15,159.009995,159.139999,156.630005,158.919998,147.913940,487600
2019-07-16,158.869995,162.710007,158.869995,161.759995,150.557220,763600
2019-07-17,161.149994,161.410004,156.350006,157.669998,146.750488,1116100
2019-07-18,154.750000,158.089996,152.330002,157.899994,146.964554,1126900
2019-07-19,158.089996,158.729996,156.139999,156.929993,146.061768,965300
2019-07-22,157.279999,160.169998,157.240005,158.899994,147.895294,840800
